Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Marcell Ozuna","ATL",688,0.107558139,0.247093023,0.435294117,0.301980198,0.378457059,0.54620462,0.924661679,0.244224422,1.7297226310352216,0.359102244,,,-3.301123857498169,-1.2837754040956497,127.17431047463819,46.693397193197455,0.39450213334856243,154.00063286835456,"Marcell Ozuna",10324,542303
"Christian Yelich","MIL",315,0.126984126,0.184126984,0.689655172,0.314814814,0.405750798,0.503703703,0.909454501,0.188888889,7.0140980010409075,0.366336633,,,1.6693909168243408,3.021536260843277,57.435177093279464,20.587084529829124,0.39138049156435073,152.72035256134947,"Christian Yelich",11477,592885
"Joc Pederson","ARI",449,0.122494432,0.233853006,0.523809523,0.275204359,0.392776523,0.514986376,0.907762899,0.239782017,3.9089260987016163,0.322314049,-1.7000000476837158,2,0.10781073570251465,-1.2539329454302788,81.74317906393532,29.22002490206483,0.3910353168878966,151.22539204110254,"Joc Pederson",11899,592626
"Ketel Marte","ARI",583,0.111492281,0.181818181,0.613207547,0.291666666,0.372212692,0.559523809,0.931736501,0.267857143,4.320483194670562,0.299191374,1.7999999523162842,0,1.1032766103744507,-0.18097732216119766,106.12190957899442,37.9236938187038,0.3909995480337077,151.20131715041614,"Ketel Marte",13613,606466
"Bryce Harper","PHI",631,0.12044374,0.218700475,0.550724637,0.285454545,0.373015873,0.525454545,0.898470418,0.24,2.767145354128121,0.330729166,,,0.9617714285850525,-1.419673815369606,109.38315203397026,35.56998883543959,0.38021706340771305,144.98917770401317,"Bryce Harper",11579,547180
"Byron Buxton","MIN",388,0.051546391,0.255154639,0.202020202,0.278873239,0.335051546,0.523943661,0.858995207,0.245070422,6.1739075888187465,0.3375,1.6999999284744263,1.399999976158142,2.820863962173462,-0.04929900914430618,62.71759530916966,17.33010351672925,0.3656734152665742,141.68875739788675,"Byron Buxton",14161,621439
"José Ramírez","CLE",682,0.079178885,0.120234604,0.658536585,0.279032258,0.334801762,0.537096774,0.871898536,0.258064516,6.627416628901248,0.265346534,,,2.0147511959075928,4.291585817933083,109.47380956544085,29.69476471378013,0.3642762730118049,141.27336308298348,"Jose Ramirez",13510,608070
"Mookie Betts","LAD",516,0.118217054,0.110465116,1.070175438,0.288888888,0.372093023,0.491111111,0.863204134,0.202222223,6.294592030484924,0.293650793,-0.6999999284744263,-1.100000023841858,-0.6772996187210083,1.2692632526159286,85.60721453790048,25.246529576819928,0.3709689515573969,141.05249143299704,"Mookie Betts",13611,605141
"Corey Seager","TEX",533,0.099437148,0.18011257,0.552083333,0.277894736,0.35272045,0.511578947,0.864299397,0.233684211,1.573348342249205,0.29059829,-4.300000309944153,0.6000000238418579,-4.003930568695068,-1.1994516253471375,85.72261842286782,23.37330624407726,0.364663478286787,140.31980780690262,"Corey Seager",13624,608369
"Willson Contreras","STL",358,0.125698324,0.268156424,0.46875,0.262458471,0.379888268,0.468438538,0.848326806,0.205980067,3.254535693211778,0.336842105,1,-0.30000001192092896,-1.287964940071106,-0.4100334793329239,59.16763315223079,17.289483508690417,0.37018280752589194,140.29278734957884,"Willson Contreras",11609,575929
